title,videos,posts,category1
1) Introduction,https://vss4.coursehunter.net/s/8fe40914e016140979430482b28044e4/udemy-ohac/lesson1.mp4,1,1
2) Tools We Use | 00:00:33,https://vss4.coursehunter.net/s/8f14484414790909e016b24380820448/udemy-ohac/lesson2.mp4,1,1
3) Github Repo / Source Code | 00:00:33,https://vss4.coursehunter.net/s/8f09e00980b279824416360443141436/udemy-ohac/lesson3.mp4,,
4) Updating Introduction | 00:00:53,https://vss4.coursehunter.net/s/8f7916809a821443e009b2041444099a/udemy-ohac/lesson4.mp4,,
5) Creating a New Project with Angular CLI | 00:02:10,https://vss4.coursehunter.net/s/8ff00914e016140979430482b28044f0/udemy-ohac/lesson5.mp4,,
6) Updating Versions | 00:03:26,https://vss4.coursehunter.net/s/8f4380440914e0161409798204b2a7a7/udemy-ohac/lesson6.mp4,,
7) Understanding Our Configuration | 00:04:20,https://vss4.coursehunter.net/s/8f4380440914e0161409798204b2adad/udemy-ohac/lesson7.mp4,,
8) Understanding our src setup | 00:04:59,https://vss4.coursehunter.net/s/8f8204807914e009441614b243b609b6/udemy-ohac/lesson8.mp4,,
9) Generating Components with CLI | 00:02:04,https://vss4.coursehunter.net/s/8f164380b2821a44090904e01479141a/udemy-ohac/lesson9.mp4,,
10) Configuring ng generate component to use scss | 00:02:38,https://vss4.coursehunter.net/s/8fb243160979094480e004148e14828e/udemy-ohac/lesson10.mp4,,
11) Converting Application to SCSS | 00:01:03,https://vss4.coursehunter.net/s/8fb243160979094480e004148e14828e/udemy-ohac/lesson11.mp4,,
12) How to Succeed with this Course | 00:01:25,https://vss4.coursehunter.net/s/8fb209801409e0047982431444165c5c/udemy-ohac/lesson12.mp4,,
13) 1. Basic Toolbar | 00:10:18,https://vss4.coursehunter.net/s/8f4380440914e0161409798204b2a2a2/udemy-ohac/lesson13.mp4,,
14) 2. Card | 00:10:22,https://vss4.coursehunter.net/s/8fef0914e016140979430482b28044ef/udemy-ohac/lesson14.mp4,,
15) 3. Accordion | 00:11:41,https://vss4.coursehunter.net/s/8f6444e080b204140979438214160964/udemy-ohac/lesson15.mp4,,
16) 4. Progress Bar | 00:08:27,https://vss4.coursehunter.net/s/8f098043e016091444798204b2147474/udemy-ohac/lesson16.mp4,,
17) 5. Star Ratings | 00:10:04,https://vss4.coursehunter.net/s/8f094443d5b27914091416e0048280d5/udemy-ohac/lesson17.mp4,,
18) 6. Top of Page | 00:09:54,https://vss4.coursehunter.net/s/8f4380440914e0161409798204b2a1a1/udemy-ohac/lesson18.mp4,,
19) 7A. Basic Routing Setup | 00:06:26,https://vss4.coursehunter.net/s/8f164380b2821d44090904e01479141d/udemy-ohac/lesson19.mp4,,
20) 7B. Basic Routing Setup | 00:04:06,https://vss4.coursehunter.net/s/8fe80914e016140979430482b28044e8/udemy-ohac/lesson20.mp4,,
21) 8. Lazy Loading Routes | 00:06:50,https://vss4.coursehunter.net/s/8f14424414790909e016b24380820442/udemy-ohac/lesson21.mp4,,
22) 9. Truncate Pipe | 00:03:11,https://vss4.coursehunter.net/s/8f8204807914e009441614b243b709b7/udemy-ohac/lesson22.mp4,,
23) 12. Loader Circular Component | 00:08:46,https://vss4.coursehunter.net/s/8f14e00409094414824379b224801624/udemy-ohac/lesson23.mp4,,
24) 10. Credit Card Formater Pipe | 00:09:48,https://vss4.coursehunter.net/s/8fb243160979094480e004148b14828b/udemy-ohac/lesson24.mp4,,
25) 11. Credit Card Input Component | 00:14:15,https://vss4.coursehunter.net/s/8f8204807914e009441614b243b809b8/udemy-ohac/lesson25.mp4,,
26) 13. Loader Loading Component | 00:13:54,https://vss4.coursehunter.net/s/8f09e00980b279824416350443141435/udemy-ohac/lesson26.mp4,,
27) 14. Twitter Post Component | 00:11:31,https://vss4.coursehunter.net/s/8f094443dab27914091416e0048280da/udemy-ohac/lesson27.mp4,,
28) 15. LinkedIn Post Component | 00:05:02,https://vss4.coursehunter.net/s/8f791680e0b2094304c48209141444c4/udemy-ohac/lesson28.mp4,,
29) 16. Flatten Pipe | 00:05:52,https://vss4.coursehunter.net/s/8f6a44e080b20414097943821416096a/udemy-ohac/lesson29.mp4,,
30) 17. Modal Component | 00:10:50,https://vss4.coursehunter.net/s/8f79168096821443e009b20414440996/udemy-ohac/lesson30.mp4,,
31) 18. Debounce Click Directive | 00:07:57,https://vss4.coursehunter.net/s/8f791680e0b2094304cc8209141444cc/udemy-ohac/lesson31.mp4,,
32) 19. Quote Component | 00:07:35,https://vss4.coursehunter.net/s/8f4380440914e0161409798204b2a9a9/udemy-ohac/lesson32.mp4,,
33) 20. Toggle Component | 00:06:48,https://vss4.coursehunter.net/s/8fb209801409e0047982431444165454/udemy-ohac/lesson33.mp4,,
34) 21. Filter Term Pipe | 00:03:32,https://vss4.coursehunter.net/s/8fe04344141609790204b28209148002/udemy-ohac/lesson34.mp4,,
35) 22. Rich Text Viewer Component | 00:06:37,https://vss4.coursehunter.net/s/8fe20914e016140979430482b28044e2/udemy-ohac/lesson35.mp4,,
36) 23. Debounce Search Component | 00:09:34,https://vss4.coursehunter.net/s/8f8204807914e009441614b243bc09bc/udemy-ohac/lesson36.mp4,,
37) 24. Search List Component | 00:12:33,https://vss4.coursehunter.net/s/8f8204807914e009441614b243b109b1/udemy-ohac/lesson37.mp4,,
38) 25. Counter Component | 00:12:14,https://vss4.coursehunter.net/s/8fb243160979094480e004148e14828e/udemy-ohac/lesson38.mp4,,
39) 26. Simple Table | 00:09:57,https://vss4.coursehunter.net/s/8fb243160979094480e004148e14828e/udemy-ohac/lesson39.mp4,,
40) 27. Paging Component | 00:20:27,https://vss4.coursehunter.net/s/8f164380b2821844090904e014791418/udemy-ohac/lesson40.mp4,,
41) 28. Tabs Component | 00:11:21,https://vss4.coursehunter.net/s/8fb243160979094480e0041488148288/udemy-ohac/lesson41.mp4,,
42) 30. Ripple Directive | 00:10:04,https://vss4.coursehunter.net/s/8fb243160979094480e004148d14828d/udemy-ohac/lesson42.mp4,,
43) 31. Fade In Out Animation | 00:08:20,https://vss4.coursehunter.net/s/8fe60914e016140979430482b28044e6/udemy-ohac/lesson43.mp4,,
44) 33. Sort Table Component | 00:21:34,https://vss4.coursehunter.net/s/8fb243160979094480e004148b14828b/udemy-ohac/lesson44.mp4,,
45) 34. Reactive Forms Email Component | 00:27:57,https://vss4.coursehunter.net/s/8f4380440914e0161409798204b2a3a3/udemy-ohac/lesson45.mp4,,
46) 35. Form Dirty Guard | 00:08:07,https://vss4.coursehunter.net/s/8f14e00409094414824379b223801623/udemy-ohac/lesson46.mp4,,
47) 36. User Service | 00:12:15,https://vss4.coursehunter.net/s/8f164380b2821344090904e014791413/udemy-ohac/lesson47.mp4,,
48) 39. Ribbon Component | 00:12:48,https://vss4.coursehunter.net/s/8fb243160979094480e0041484148284/udemy-ohac/lesson48.mp4,,
49) 40. Button Toggle Component | 00:12:49,https://vss4.coursehunter.net/s/8f4380440914e0161409798204b2a1a1/udemy-ohac/lesson49.mp4,,
50) 41. Banner Cut Out Component | 00:08:53,https://vss4.coursehunter.net/s/8fb209801409e0047982431444165353/udemy-ohac/lesson50.mp4,,
51) 42. Scale Directive | 00:03:51,https://vss4.coursehunter.net/s/8f4380440914e0161409798204b2a5a5/udemy-ohac/lesson51.mp4,,
52) 43. Snackbar Component | 00:14:46,https://vss4.coursehunter.net/s/8fee0914e016140979430482b28044ee/udemy-ohac/lesson52.mp4,,
53) 44. Simple Popup Component | 00:10:17,https://vss4.coursehunter.net/s/8f09e00980b2798244163a044314143a/udemy-ohac/lesson53.mp4,,
54) 45. Countdown Timer Component | 00:19:02,https://vss4.coursehunter.net/s/8f791680e0b2094304c58209141444c5/udemy-ohac/lesson54.mp4,,
55) 46. Snackbar Service | 00:07:42,https://vss4.coursehunter.net/s/8f144f4414790909e016b2438082044f/udemy-ohac/lesson55.mp4,,
56) 47. Copy Directive | 00:07:45,https://vss4.coursehunter.net/s/8f4380440914e0161409798204b2aeae/udemy-ohac/lesson56.mp4,,
