title,videos
1) 1.1 Введение | 00:04:51,https://vss4.coursehunter.net/s/8f25868c1409ac04d605461434175454/skillbox-omdds/lesson1.mp4
2) 1.2 Основные операции с дробями | 00:11:45,https://vss4.coursehunter.net/s/8f098c46ac17861434d6050425147676/skillbox-omdds/lesson2.mp4
3) 1.3 Разбор практики | 00:01:34,https://vss4.coursehunter.net/s/8fac4634141786d60804250509148c08/skillbox-omdds/lesson3.mp4
4) 1.4 Раскрытие скобок | 00:08:09,https://vss4.coursehunter.net/s/8f14ac04860934140546d625258c1725/skillbox-omdds/lesson4.mp4
5) 1.5 Разбор практики | 00:01:02,https://vss4.coursehunter.net/s/8f468c340914ac171486d6050425a6a6/skillbox-omdds/lesson5.mp4
6) 1.6 Приведение подобных слагаемых | 00:04:13,https://vss4.coursehunter.net/s/8f86ac098c25d60534173f044614143f/skillbox-omdds/lesson6.mp4
7) 1.7 Разбор практики | 00:02:30,https://vss4.coursehunter.net/s/8f86ac098c25d6053417330446141433/skillbox-omdds/lesson7.mp4
8) 1.8 Работа с математическими формулами в Python | 00:08:10,https://vss4.coursehunter.net/s/8f098c46ac17861434d6050425147d7d/skillbox-omdds/lesson8.mp4
9) 1.9 Домашняя работа | 00:00:54,https://vss4.coursehunter.net/s/8fd6178c97051446ac09250414348697/skillbox-omdds/lesson9.mp4
10) 2.1 Введение | 00:05:24,https://vss4.coursehunter.net/s/8f468c340914ac171486d6050425b0b0/skillbox-omdds/lesson10.mp4
11) 2.2 Степени и их свойства | 00:20:26,https://vss4.coursehunter.net/s/8fd6178c9c051446ac0925041434869c/skillbox-omdds/lesson11.mp4
12) 2.3 Корни и их свойства | 00:08:59,https://vss4.coursehunter.net/s/8f14ac04860934140546d625288c1728/skillbox-omdds/lesson12.mp4
13) 2.4 Логарифмы и их свойства | 00:10:10,https://vss4.coursehunter.net/s/8f17468c25051734860904ac14d61417/skillbox-omdds/lesson13.mp4
14) 2.5 Дополнительные объекты и обозначения | 00:08:25,https://vss4.coursehunter.net/s/8f86ac098c25d6053417320446141432/skillbox-omdds/lesson14.mp4
15) 2.6 Заключение | 00:00:34,https://vss4.coursehunter.net/s/8f468c340914ac171486d6050425a7a7/skillbox-omdds/lesson15.mp4
16) 2.7 Домашняя работа | 00:00:35,https://vss4.coursehunter.net/s/8f86ac098c25d60534173a044614143a/skillbox-omdds/lesson16.mp4
17) 3.1 Введение | 00:00:56,https://vss4.coursehunter.net/s/8f144d3414d60986ac1725468c05044d/skillbox-omdds/lesson17.mp4
18) 3.2 Понятие функции. Построение графиков функций с помощью SymPy | 00:08:33,https://vss4.coursehunter.net/s/8fac4634141786d60204250509148c02/skillbox-omdds/lesson18.mp4
19) 3.3 Виды и свойства функций | 00:05:50,https://vss4.coursehunter.net/s/8f25461786d609348cac041484140584/skillbox-omdds/lesson19.mp4
20) 3.4 Элементарные функции и их свойства | 00:19:04,https://vss4.coursehunter.net/s/8f468c340914ac171486d6050425b0b0/skillbox-omdds/lesson20.mp4
21) 3.5 Исследование параболы с помощью SymPy | 00:09:35,https://vss4.coursehunter.net/s/8f863446db25d614091417ac04058cdb/skillbox-omdds/lesson21.mp4
22) 3.6 Разбор практики | 00:01:36,https://vss4.coursehunter.net/s/8f098c46ac17861434d6050425147d7d/skillbox-omdds/lesson22.mp4
23) 3.7 Дополнительный функционал SymPy для исследования функций | 00:06:49,https://vss4.coursehunter.net/s/8fe40914ac171486d6460405258c34e4/skillbox-omdds/lesson23.mp4
24) 3.8 Разбор практики | 00:01:59,https://vss4.coursehunter.net/s/8f6a34ac8c25041486d646051417096a/skillbox-omdds/lesson24.mp4
25) 3.9 Домашняя работа | 00:02:04,https://vss4.coursehunter.net/s/8f86ac098c25d6053417380446141438/skillbox-omdds/lesson25.mp4
26) 4.1 Интро | 00:04:59,https://vss4.coursehunter.net/s/8f468c340914ac171486d6050425a6a6/skillbox-omdds/lesson26.mp4
27) 4.2 Полиномы и интерполяция | 00:04:19,https://vss4.coursehunter.net/s/8f17468c25051734860904ac14d61417/skillbox-omdds/lesson27.mp4
28) 4.3 Разбор практики | 00:13:16,https://vss4.coursehunter.net/s/8fd6178cac25094604cc0586141434cc/skillbox-omdds/lesson28.mp4
29) 4.4 Свойства коэффициентов квадратичной функции | 00:00:51,https://vss4.coursehunter.net/s/8f05048cd614ac093417142546be86be/skillbox-omdds/lesson29.mp4
30) 4.5 Разбор практики | 00:05:55,https://vss4.coursehunter.net/s/8f468c340914ac171486d6050425a1a1/skillbox-omdds/lesson30.mp4
31) 4.6 Свойства коэффициентов кубической функции | 00:01:29,https://vss4.coursehunter.net/s/8f05048cd614ac093417142546c086c0/skillbox-omdds/lesson31.mp4
